sentence,cct_labels
"ever since i was little i wanted to be a doctor, so much so that i can't see myself doing anything else.",Attainment
i am here to better myself and hopefully give myself a better future.,"Aspirational, Attainment"
i am in this class because i want to pass physics and getting an a is part of that journey.,"Aspirational, Attainment, Navigational"
i am majoring in bio to get to my career goal of becoming a doctor or something in the medical field.,Attainment
to achieve goals such as open up a homeless shelter pay for a house for my mother so that she doesn't have to work another day in her life.,Attainment
"i aspire to become a doctor because i know that not only can i change my life, families, but also the people around me.",Attainment
"in the end, the goal is to achieve an a for my physics course.",Attainment
planning to become a physical therapist requires a degree or some form of education.,Attainment
here to get a kin degree bc i find the subject interesting and i want to help people.,Attainment
i'm here because i want to become a doctor in the near future.,Attainment
i want to be the first in my family to graduate and become a doctor.,"Attainment, First Gen"
i feel the importance of me being here is to better myself.,"Aspirational, Attainment"
my dream is to get my masters and phd in psychology and i feel so much closer to that goal then any before.,Attainment
i am in college specifically to pursue my one and only career which is to be a veterinarian.,Attainment
after college i want to go onto medical school to become a neonatal surgeon.,"Aspirational, Attainment"
i am here to get a degree.,"Aspirational, Attainment"
i am here because i am a first generation college student and i am interested in the medical field.,"Aspirational, Attainment, First Gen"
i feel very blessed to be a part of a community that enriches the growth of learning and works together as one to figure problems out.,"Aspirational, Attainment"
"i am hoping for an a, and i honestly think it is doable because of all the extra time i am going to be putting in to make sure i understand all the concepts.",Attainment
i'm enrolled in the physics lecture class because i want to graduate college and attend medical school.,"Aspirational, Attainment"
"all my life, from childhood to today, i have proven to myself that pursing a degree in cell and molecular biology is what i am striving for.",Attainment
i am here to get my bachelors in biochemistry.,Attainment
another reason why i am here is that i would be the first in my family to be able to go to college and pursue a degree in biology.,"Attainment, Familial, First Gen"
my life goal is to go to medical school and become a doctor and eventually do medical research.,Attainment
"i am here to change the number of women in stem, to change the number of latina women in stem. i am also here to make my parents proud.","Attainment, Filial Piety, Perseverant, Resistance"
i am majoring in biology and i am planning on declaring a concentration in zoology by the end of this semester.,Attainment
"in doing so, i can get a better grade in my current physics 111 class and boost my gpa, making myself a more competitive medical school applicant.",Attainment
i am here because i am a first generation student and i want to make my parents proud.,"Aspirational, Attainment, Familial, Filial Piety, First Gen"
i want to finish college and then go to medial school and be able to become a obgyn doctor!,"Aspirational, Attainment"
"my main goal for this class is to help me pass my class with a b or higher, i am taking this si course to increase my ability to achieve this goal.","Attainment, Social"
"that is why i am here, i am here for a reason that is beyond me and for the fact that i want to go to medical school and taking this class will help get there.","Aspirational, Attainment, Spiritual"
i am here at the school so i can get my bachelors degree for biology with a concentration in marine biology and limnology and get into a research lab.,Attainment
the answer to that is obvious which is to obtain a higher education so that i can pursue a career in the field of medicine.,Attainment
in the greater picture im here to obtain a degree in kinesiology alongside getting my teaching degree.,Attainment
im here at sfsu because i want to get my bachelors in child and adolescent development.,"Aspirational, Attainment"
in general i am in school so that i may pursue a career in child psychiatry.,Attainment
i am here in sci because i want maximize my chances of getting an a in physics.,Attainment
i am here at san francisco state university because i want a good education so that i can become a physical therapist in the future.,Attainment
i am glad i am taking this course because i think it will help me with my future career in environmental science.,Attainment
i want to get a biochemistry degree because i want to be a pharmacist as a career.,Attainment
"now that ive decided to persuade and obtain a college degree as a biology major, i want to expand my knowledge of our world by learning and understanding the physics that we live by everyday.","Aspirational, Attainment"
my goal for this course is to stay on top of my game and pass all the exams with a b or above.,Attainment
i am a first generation college student and i am here to prepare myself for my future in teaching special education.,"Attainment, First Gen"
