sentence,CCTs,essay_id
I want to do really well because I have managed to do well in science even though I do not get the grades that I would prefer.,Aspirational,F19.PHYS112.01.01
"I want to be able to get everything finished in four years, so I have been getting all my upper division and general ed. classes done in about one year of university.",Navigational,F19.PHYS112.01.01
I am taking this physics class because I need it to get my general education classes finished,Class 0,F19.PHYS112.01.01
This is the last of my GEs that I have to take and I am hoping to finish everything on a good note,Class 0,F19.PHYS112.01.01
"I took physics in high school and really enjoyed it, so I am hoping that the experience extends into college",Class 0,F19.PHYS112.01.01
I am nervous about how I'll perform in this class because I tend to struggle with my science courses,Class 0,F19.PHYS112.01.01
I want to do really well because I have managed to do well in science even though I do not get the grades that I would prefer,Class 0,F19.PHYS112.01.01
"I want to be able to get everything finished in four years, so I have been getting all my upper division and general ed",Class 0,F19.PHYS112.01.01
classes done in about one year of university,Class 0,F19.PHYS112.01.01
I am here because not only it is require for my major but to understand more about physics on a university level that I will fully experience for the first time.,"Aspirational, Navigational",F19.PHYS112.01.02
I am here because not only it is require for my major but to understand more about physics on a university level that I will fully experience for the first time,Class 0,F19.PHYS112.01.02
I am not new to physics as I took it during my Senior year in high school,Class 0,F19.PHYS112.01.02
"As a General Biology major, taking this course is very important so that I can learn more skills in physics, have a better understanding the science of physics and how it affects our surroundings on Earth",Class 0,F19.PHYS112.01.02
Physics 1 and Physics 2 are requirements to get into UCSFís physical therapy program so Iím not going to let my fear of math stand in the way of my goals.,"Attainment, Perserverance",F19.PHYS112.01.03
I hope this physics lab and the physics lecture will help to boost my self confidence.,Aspirational,F19.PHYS112.01.03
I am here in this physics lab because it's a requirement for my major.,Navigational,F19.PHYS112.01.03
I am here in this physics lab because it's a requirement for my major,Class 0,F19.PHYS112.01.03
I am nervous about taking a physics courses because I have never taken one before,Class 0,F19.PHYS112.01.03
In high school i opted out of physics and took courses like physiology and forensics science,Class 0,F19.PHYS112.01.03
I have always been afraid of the math portion of physics because math isnít my strong suit,Class 0,F19.PHYS112.01.03
Since entering my fourth year of college I have greatly expanded my math boundaries but I am still nervous,Class 0,F19.PHYS112.01.03
Physics 1 and Physics 2 are requirements to get into UCSFís physical therapy program so Iím not going to let my fear of math stand in the way of my goals,Class 0,F19.PHYS112.01.03
I hope this physics lab and the physics lecture will help to boost my self confidence,Class 0,F19.PHYS112.01.03
I am excited to enter into a new field of study that I have never actually learned before,Class 0,F19.PHYS112.01.03
Making real world connections between what I learn in the class room and all the types of physics around me everyday will be very interesting,Class 0,F19.PHYS112.01.03
I never took physics in high school i dont know what physics is going to be like but i hope i have fun and enjoy the class.,Aspirational,F19.PHYS112.01.04
"In bio 240 I didnt had a great time because we learned about animals and insects and plants which is dry labs and are boring, so I hope this class is fun.",Aspirational,F19.PHYS112.01.04
"I'm here because it's a requirement for my major which is biology physiology, I dont think I would take this course just for fun.",Navigational,F19.PHYS112.01.04
"I'm here because it's a requirement for my major which is biology physiology, I dont think I would take this course just for fun",Class 0,F19.PHYS112.01.04
I never took physics in high school i dont know what physics is going to be like but i hope i have fun and enjoy the class,Class 0,F19.PHYS112.01.04
I like labs where is hand ons or visual so hopefully this class is like that,Class 0,F19.PHYS112.01.04
"In bio 240 I didnt had a great time because we learned about animals and insects and plants which is dry labs and are boring, so I hope this class is fun",Class 0,F19.PHYS112.01.04
The reason why I am in this class is because of how I know that this will assist me in reaching my goal.,Aspirational,F19.PHYS112.01.05
"Since my major is Pre-BioChemistry, taking this class will assist me in my completing one of my major classes required for me to graduate.",Navigational,F19.PHYS112.01.05
I look forward to working with everyone in class and maybe make some friends along the way as well.,Social,F19.PHYS112.01.05
The reason why I am in this class is because of how I know that this will assist me in reaching my goal,Class 0,F19.PHYS112.01.05
"Since my major is Pre-BioChemistry, taking this class will assist me in my completing one of my major classes required for me to graduate",Class 0,F19.PHYS112.01.05
I took the prerequisites class last year in order to join this class,Class 0,F19.PHYS112.01.05
It will be very helpful to me since I have much to learn in physics,Class 0,F19.PHYS112.01.05
This class is also extremely helpful because it helps me review what I learned in lecture and use what I learned in class  to solve for how to do the labs within this class,Class 0,F19.PHYS112.01.05
Lab classes as well help give insight into what we were learning and focusing,Class 0,F19.PHYS112.01.05
It goes further into the theories and definitions and I believe it is important for me to learn those from this class,Class 0,F19.PHYS112.01.05
I look forward to working with everyone in class and maybe make some friends along the way as well,Class 0,F19.PHYS112.01.05
I am here because I want to learn more about all types of science and one day go into my field of study and being happy and successful.,Aspirational,F19.PHYS112.01.06
"I am here today to learn more about physics, which is required for my major in biology. I am here in this lab because it is also required as part of the Physics lecture.",Navigational,F19.PHYS112.01.06
"I am here today to learn more about physics, which is required for my major in biology",Class 0,F19.PHYS112.01.06
I am here in this lab because it is also required as part of the Physics lecture,Class 0,F19.PHYS112.01.06
I suppose I am also here because lab is a physical reminder and helps learning the core concepts that is being discussed in lecture,Class 0,F19.PHYS112.01.06
I am here because I want to learn more about all types of science and one day go into my field of study and being happy and successful,Class 0,F19.PHYS112.01.06
"Honestly I'm also here because I want to give physics another chance, especially in a college setting as it's very different from learning it in high school",Class 0,F19.PHYS112.01.06
It also helps to further understanding about how the world works around us and connects with both chemistry and biology,Class 0,F19.PHYS112.01.06
It's something that will help me for my chosen field and hopefully give me a new view about Physics and other scientific subjects,Class 0,F19.PHYS112.01.06
"Other than that, I guess Iíd rather do physics than a second semester of Calculus",Class 0,F19.PHYS112.01.06
I am here to pass Physics so that I can move on with my major and graduate faster.,"Aspirational, Navigational",F19.PHYS112.01.07
I am here to pass Physics so that I can move on with my major and graduate faster,Class 0,F19.PHYS112.01.07
"However, I am looking forward to learn Physics so that I can apply to what I do in the future",Class 0,F19.PHYS112.01.07
"As a Human Physiology student, I know Physics is essential to better understand the mechanism of how the human body works",Class 0,F19.PHYS112.01.07
I am also here to enhance my learning for this subject as well.,Aspirational,F19.PHYS112.01.08
I am here in Physics 112 lab because it is a requirement for my major for Microbiology.,Navigational,F19.PHYS112.01.08
