sentence,CCTs
to better one self and be able to succeed later on in life.,Aspirational
I always wanted to be able to help people and I always had an intrest in medicine and the human body. I guess I here so I'll be able to help people in the future.,Aspirational
I always wanted to be able to help people,Spiritual
"I am also here because the formula to being successful is getting knowledge to do better, be better and to reinvent.",Aspirational
She made a lot of sacrifices for me to be here. I guess you can say the same for my fathers sacrifices I am to be here as well.,Filial Piety
I am here because I saw my mother struggle to feed my 7 siblings & I.,"Filial Piety, Familial"
I'm here because my parents came here during the vietnam war for a better life. She made a lot of sacrifices for me to be here. I guess you can say the same for my fathers sacrifices I am to be here as well.,Familial
"I am here because I want to better myself & my family, not only financially but in health.","Aspirational, Filial Piety"
Being in this instituion will pave a way for me to become a professional.,Navigational
I know that as a child I never thought of education and a career for someone who is undocumented.,Resistance
"I Hope to reach a position in which I can inspire and prove to all of the ""immigrants"" in the USA that achieving and surpassing struggle is possible.","Resistance, Community Consciousness"
I am here at SFSU because I am a first generation student,First Gen
I want to help my community while I'm here and become a better version of me.,Aspirational
School has always helped me escape the hard things I live through everday.,Perserverance
"As the oldest of 3 siblings, I want to be a role model and set a good example for my siblings.",Filial Piety
I want to help my community while I'm here,Community Consciousness
- I am here to help myself grow.,Aspirational
- Understand my purpose.,Aspirational
Improve,Aspirational
- Learn and apply my skills to progress towards my career goal.,"Aspirational, Navigational"
Meet people who have (similar) aspirations/goals,Social
- Network,Social
Why am I here in Sci 111? I'm here in Sci 111 because I want to successed in PHYS 111. More specifically I would like to be able to thrive not just survive.,Aspirational
The road to success was always college. You need to get a degree to get where you want to go.,Navigational
I am here to better myself and hopefully give myself a better future.,Aspirational
I am in this class because I want to pass physics and getting an A is part of that journey.,Navigational
Also the reason why I am here in San Francisco is to experience new things and figure myself out.,Navigational
I knew this step was going to be an important step in my life because I was the first in my family to go to college and especially away,First Gen
The reason I am taking physics is because it's a required course for my biology major. I am majoring in bio to get to my career goal of becoming a doctor or something in the medical field.,Navigational
The reason I came to SF State is because I wante to be in a new environment away from where I'm from (LA). I knew this step was going to be an important step in my life because I was the first in my family to go to college and especially away,Navigational
to make a better future for myself and ultimately the world,"Aspirational, Spiritual"
"Whenever im struggling I know I can fall back on science. to give you a better example, when in conversation with people and I feel as if I dont know what to say, I know I always have biology to talk about and take me back to my safe zone.",Navigational
to put this passion into my school to later help people,Spiritual
I am here to better myself for me and my family.,Aspirational
I am here to become stronger mentally & more educated.,Aspirational
I am here to set an example for my sisters,Filial Piety
I was born in Mexico and my mom brought me here for a better future so she is who I do it all for.,"Filial Piety, Familial"
I am here to set an example for my sisters and other young women in my life.,Community Consciousness
I am here at SFSU for a better future,Aspirational
I'm taking this class to get a good grade in physics and to understand the material.,Aspirational
"As for why I am here in San Francisco, I moved away to isolate myself from any distractions that would cause me to not reach my highest potential.",Navigational
pay for a house for my mother so that she doesn't have to work another day in her life,Filial Piety
To achieve goals such as open up a homeless shelter,Spiritual
"I aspire to become a doctor because I know that not only can I change my life, families, but also the people around me.",Spiritual
To learn more about the natural world and build relationships with many diverse people who are as passionate as I am,Aspirational
I am here to learn and build relationships with many diverse people who are as passionate as I am,Social
Make myself proud & happy,Aspirational
Somewhow I will accomplish that by finding myself & learning from others.,"Aspirational, Social"
"For my loved ones - These include my family, friends, my lover - They all push me to achieve greatness, with their unwavering support, they give me power to stay grounded",Familial
To help my community; I want to give back to all who have touched me.,Community Consciousness
I am able to gain perspectives & sufficient knowledge to provide a helping hand to all.,Spiritual
I am here to learn myself.,Aspirational
"A place to learn, to make mistakes, overcome challeneges",Perserverance
This is a new adventure for me where I will make mistakes and learn from them.,Perserverance
to give my students and peers what my SI facilitators have given to me,Community Consciousness
I am excited to be here in SI because I get to give my students and peers what my SI facilitators have given to me,Social
I am here to learn from my students/peers and to grow from their feedback/advice.,Social
I'm taking this class to get a good grade in physics and to understand the material.,Aspirational
"I'm trying to transfer next semester so I'm trying to get all my classes together, make sure I have enough credits to get in.",Navigational
I'm here because I want to improve my understanding in physics.,Aspirational
"I haven't taken a physics course since high school therefore I'm a little rusty. I believe attending this SI course will develop and improve my overall understanding with material I may be struggling in. In the end, the goal is to achieve an A for my physics course.",Navigational
"I'm here at this institution becauase in order to do what I want to be when I grow up, I need a college degree. Planning to become a physical therapist requires a degree or some form of education. That is the main reason I'm here. /-/ After graduating high school there are three paths a person might take: work immediately, enroll into the military, or go back to school. So, I chose to go back to school.",Navigational
I want to help people,Aspirational
I want to help people.,Spiritual
I'm the first one in my family to go to college,First Gen
"even though it's taken me longer than I had hoped, I'm almost there. I don't want to give up because this is something that I really want to do. I'm here because I have a dream and I will accomplish it. I struggle and don't understand everything right away. It takes me time but I get it eventually.",Perserverance
I want to save lifes,Spiritual
I am here in the science community because I feel that my people (of color and being a female) are under represented.,Resistance
become a role model for my younger cousins back where I'm from.,Filial Piety
I am here because I care about my community and to help empower those around me.,Community Consciousness
I want to contribute my knowledge that I've gain since I've been at SF State to those around me.,Community Consciousness
I am also here because I want to gain new perspective from my peers,Social
I want to contribute my knowledge that I've gain since I've been at SF State to those around me,Spiritual
I feel the importance of me being here is to better myself.,Aspirational
UCSFís physical therapy program,Attainment
I guess my purpose is just to get my degree in biology and work at a lab.,Attainment
"My goal is to become a surgeon, either Cardio or General Surgery.",Attainment
My goal is to become a veterinarian and I knew that I didnít just want to just do the minimum of work.,Attainment
"a degree, towards eventually (hopefully, maybe) a doctorate.",Attainment
My end goal is to be a n OB-GYN.,Attainment
Im here because I want to pursue a degree in biology,Attainment
Iím here because I want to pursue a career in environmental science .,Attainment
Iím here at SFSU because I want to get my bachelors in Child and Adolescent Development.  I plan to pursue higher education and get into the medical field.,Attainment
I am here because I want to get a bachelor's degree on my major of Kinesiology.  My overall goal as to why I am in college is to become a physical therapist.,Attainment
I am here to learn more about astronomy and the constellations because it is all very interesting to me. I am here to not only try hard and get a good grade but to experience things like the room with all the stars in the universe and all the constellations.,Aspirational
I am here at SFSU to gain a higher education so I am able to get the best possible opportunities I can be my best in the journalism field.,"Aspirational, Navigational"
I am here in this Astronomy Lab to satisfy a GE requirement through SF State.,Navigational
I am here because I want to get a degree.,Attainment
I am here because I want to get a degree. I want to make myself proud and my family. I hope to do well in all my classes this semester !,Aspirational
The main reason I chose this class is because it is a GE requirement.,Navigational
"But I also chose this out of other lab classes because ever since I have worked in a preschool, I have been interested in learning more about astronomy to share my knowledge one day with my students.",Navigational
"I start to think about all I have done to be here, how far I have come. And even though it hasn't been easy, it definitely has been worth it.",Perserverance
"I want to make myself proud and my family. My parents are my motivators, they work so hard to give me everything they can and I want all their efforts to be worth it.",Filial Piety
"My parents are my motivators, they work so hard to give me everything they can and I want all their efforts to be worth it.",Familial
I am here at SFSU due to its cinema program,Attainment
"I am here at SFSU due to its cinema program and resources. I knew I was going to major in cinema and SFSU seemed like an obvious choice. More specifically, Iím in this class because I needed a lab credit and astronomy seemed to be the lab Iíd be able to not do the worst in. Not saying I donít care or whatever, Iím just saying a GE is a GE and you gotta do what you gotta do.†",Navigational
I am at San Francisco State because I wanted to further my education.,Aspirational
I am taking this class because I needed to take a lab for my credits.,Navigational
I like the topic and think if really try do do well in this class I will.,Perserverance
